kunnr,mart_miktar_ton,aygpay,hesnav,MRT 2026,fiil_nakliye_tl_ton,fob_tutar,ton_bası_karlılık
1011016,2.11,35771.55,5347.49,-5796.0,,2.6364864864864868,38372.12056872038
1011022,9.26,35771.55,5347.49,-73076.0,3345.2528291887893,,29882.210496945125
1011025,1.92,35771.55,5347.48,0.0,,2.6364864864864868,41119.03
1012011,6.12,35770.38,5450.82,-76586.0,3948.6936748900407,,24758.45403752826
1012012,0.96,35770.38,5450.82,-18873.0,5522.58985157108,,16039.235148428917
1012017,4.2,35770.38,5450.82,-35700.0,4772.859275934303,,27948.340724065696
1012021,0.6,34956.13,4314.46,-16691.0,12652.019448333032,2.6364864864864868,-1199.7627816663735
1012031,2.94,34956.13,4314.46,-35280.0,4783.543100376055,,22487.046899623943
1012038,1.08,35770.38,5450.82,-7560.0,4573.576690894024,,29647.62330910597
1013008,1.2,34566.51,4325.29,0.0,7475.895153449366,,31415.904846550635
1013018,7.8,35380.76,5461.65,-108007.0,6172.302279661636,,20823.056438287087
1013019,3.6,35380.76,5461.65,-34997.0,5008.601904488281,,26112.419206622828
1013021,1.62,35380.77,5461.65,-14700.0,5547.737545976786,,26220.60837994914
1013028,1.32,35380.76,5461.65,-22383.0,8588.77719541547,,15296.814622766353
1013029,4.62,35380.75,5461.64,-78745.0,5440.2031938673335,,18357.814511760374
1013030,6.24,35380.76,5461.65,-103059.0,4595.162928428151,,19731.38168695647
1014019,2.11,35763.22,5355.82,-8131.0,,,37265.48549763033
1014026,2.4,35763.22,5355.82,-8400.0,5229.748649789258,,32389.29135021074
1014031,4.2,35763.22,5355.82,-14490.0,3111.2720299996568,,34557.76797000034
1014032,5.98,35763.22,5355.82,-59760.0,5017.884072530746,,26107.84489067996
1014034,3.6,35763.22,5355.82,-51146.0,3361.2088080988365,,23550.60896967894
1014048,17.06,35763.22,5355.82,-170640.0,4307.748755009852,,26808.94657910504
1015021,3.71,35692.39,5426.65,-34637.0,3323.4850869865522,,28459.436314630697
1015025,2.28,35692.39,5426.65,-28617.0,4272.917482872368,,24294.806727653944
1015026,2.4,35692.38,5426.65,-353.0,3254.694279331697,,37717.252387334964
1015030,2.89,35692.39,5426.65,0.0,4876.784546965579,,36242.25545303442
1015032,14.48,35692.5,5426.67,-252730.0,,5.3984697297297295,23665.440718232043
1015034,3.96,35692.39,5426.65,-51790.0,3308.7890736001295,,24731.968098117046
1015037,4.1,35692.39,5426.65,-53226.0,4248.9880307288795,,23888.100749758927
1015041,2.7,35692.39,5426.65,-36525.0,4584.569737468278,,23006.692484753945
1016078,682.4,2431.04,5342.49,0.0,3101.2145243975965,,4672.315475602403
1016099,10.69,36527.13,5349.49,-58536.0,3961.598435142626,,32439.249815558964
1016219,2.28,36527.13,5349.49,-26785.0,4359.500494436388,,25769.312488019743
1016220,4.2,36527.13,5349.49,-51946.0,4002.4147282630506,,25506.110033641708
1016230,8.54,36527.13,5349.49,-94401.0,4996.694430054795,,25825.9443053082
1016243,1.4,35712.88,4213.13,-19906.0,5390.148301461887,,20317.29026996668
1016244,13.14,36527.13,5349.49,-181750.0,3506.2624875030306,,24538.546249178853
1016250,6.3,36527.13,5349.49,-125221.0,2325.5531950277623,,19674.71759862302
1017015,5.64,35736.55,5382.49,-43506.0,3072.7796007445068,,30332.430612021453
1017017,11.96,35585.04,5382.49,-125618.0,4302.020103528973,,26162.332638945943
1017020,6.96,35736.55,5382.49,-50650.0,,,33841.74114942529
1017023,9.42,35585.04,5382.49,-79353.0,3448.8515678665426,,29094.793081814983
1017038,4.44,36872.92,5382.49,0.0,7934.035208138647,,34321.37479186135
1017041,8.4,35585.04,5382.49,-134880.0,6550.607190482213,,18359.779952374927
1017042,18.54,35585.03,5382.48,-267186.0,4066.052861775654,,22490.130277382912
1017048,5.52,35736.55,5382.49,-39474.0,4549.730208200885,,29418.222835277378
1017051,9.6,35585.04,5382.49,-113040.0,3335.068814431573,23.6533967027027,25857.461185568427
1017054,11.7,35585.04,5382.49,-216422.0,4101.650277138672,,18368.272885254486
1017056,3.9,35736.55,5382.49,-167869.0,3795.565867899093,,-5719.85920123243
1017057,9.84,35736.55,5382.49,-177048.0,3714.8141536604962,,19411.542919510237
1018039,1.8,35794.89,5344.99,0.0,6982.394789668389,,34157.48521033161
1019021,1.86,35781.46,5358.42,-8375.0,4841.074938525408,,31796.116889431578
1019028,2.52,35781.46,5358.42,-10710.0,5597.924889328667,,31291.955110671333
1019031,7.2,35781.46,5358.42,-65455.0,4865.249368512303,,27183.65840926547
1019032,4.56,34967.21,4222.06,-24083.0,5545.874815374579,,28362.03553550261
1019044,2.56,35781.46,5358.42,-10325.0,5655.953736348054,,31450.72313865194
1019049,3.0,34967.21,4222.06,-12750.0,5014.069760118866,,29925.20023988113
1019051,4.68,34967.21,4222.06,0.0,5613.51504144207,,33575.754958557925
